EXTERNAL,1,0.000153s
EXTERNAL,2,0.000222s
EXTERNAL,4,0.000555s
EXTERNAL,8,0.002013s
EXTERNAL,16,0.005282s
EXTERNAL,32,0.015113s
EXTERNAL,64,0.030985s
EXTERNAL,128,0.075803s
EXTERNAL,256,0.216004s
EXTERNAL,512,0.665557s
MALLOC,1,0.000375s
MALLOC,2,0.000460s
MALLOC,4,0.000763s
MALLOC,8,0.002225s
MALLOC,16,0.005459s
MALLOC,32,0.015031s
MALLOC,64,0.031927s
MALLOC,128,0.075519s
MALLOC,256,0.217171s
MALLOC,512,0.668643s
DYNAMIC,1,0.000186s
DYNAMIC,2,0.000260s
DYNAMIC,4,0.000588s
DYNAMIC,8,0.002030s
DYNAMIC,16,0.005286s
DYNAMIC,32,0.014900s
DYNAMIC,64,0.031901s
DYNAMIC,128,0.076043s
DYNAMIC,256,0.218624s
DYNAMIC,512,0.669654s
STACK,1,0.000197s
STACK,2,0.000271s
STACK,4,0.000589s
STACK,8,0.002014s
STACK,16,0.005237s
STACK,32,0.014741s
STACK,64,0.031789s
STACK,128,0.075991s
STACK,256,0.215056s
STACK,512,0.672393s
EXTERNAL,1,0.000160s
EXTERNAL,2,0.000223s
EXTERNAL,4,0.000530s
EXTERNAL,8,0.002080s
EXTERNAL,16,0.005139s
EXTERNAL,32,0.013242s
EXTERNAL,64,0.030966s
EXTERNAL,128,0.074332s
EXTERNAL,256,0.211638s
EXTERNAL,512,0.674804s
MALLOC,1,0.000375s
MALLOC,2,0.000461s
MALLOC,4,0.000753s
MALLOC,8,0.002350s
MALLOC,16,0.005345s
MALLOC,32,0.013044s
MALLOC,64,0.031166s
MALLOC,128,0.074646s
MALLOC,256,0.207519s
MALLOC,512,0.678958s
DYNAMIC,1,0.000186s
DYNAMIC,2,0.000260s
DYNAMIC,4,0.000564s
DYNAMIC,8,0.002057s
DYNAMIC,16,0.005137s
DYNAMIC,32,0.012946s
DYNAMIC,64,0.030954s
DYNAMIC,128,0.074375s
DYNAMIC,256,0.207646s
DYNAMIC,512,0.674496s
STACK,1,0.000197s
STACK,2,0.000271s
STACK,4,0.000553s
STACK,8,0.002060s
STACK,16,0.005128s
STACK,32,0.012726s
STACK,64,0.030733s
STACK,128,0.073451s
STACK,256,0.209352s
STACK,512,0.675717s
EXTERNAL,1,0.000153s
EXTERNAL,2,0.000238s
EXTERNAL,4,0.000483s
EXTERNAL,8,0.002079s
EXTERNAL,16,0.004967s
EXTERNAL,32,0.014706s
EXTERNAL,64,0.032544s
EXTERNAL,128,0.076503s
EXTERNAL,256,0.215924s
EXTERNAL,512,0.669506s
MALLOC,1,0.000374s
MALLOC,2,0.000473s
MALLOC,4,0.000721s
MALLOC,8,0.002357s
MALLOC,16,0.005211s
MALLOC,32,0.014748s
MALLOC,64,0.032739s
MALLOC,128,0.076944s
MALLOC,256,0.214705s
MALLOC,512,0.674659s
DYNAMIC,1,0.000189s
DYNAMIC,2,0.000279s
DYNAMIC,4,0.000513s
DYNAMIC,8,0.002134s
DYNAMIC,16,0.004985s
DYNAMIC,32,0.014476s
DYNAMIC,64,0.031831s
DYNAMIC,128,0.079482s
DYNAMIC,256,0.217116s
DYNAMIC,512,0.676299s
STACK,1,0.000196s
STACK,2,0.000290s
STACK,4,0.000516s
STACK,8,0.002144s
STACK,16,0.004968s
STACK,32,0.014252s
STACK,64,0.032544s
STACK,128,0.077682s
STACK,256,0.215182s
STACK,512,0.668780s
EXTERNAL,1,0.000153s
EXTERNAL,2,0.000223s
EXTERNAL,4,0.000522s
EXTERNAL,8,0.002154s
EXTERNAL,16,0.005264s
EXTERNAL,32,0.012534s
EXTERNAL,64,0.032721s
EXTERNAL,128,0.073737s
EXTERNAL,256,0.216210s
EXTERNAL,512,0.671436s
MALLOC,1,0.000377s
MALLOC,2,0.000462s
MALLOC,4,0.000740s
MALLOC,8,0.002438s
MALLOC,16,0.005430s
MALLOC,32,0.012670s
MALLOC,64,0.031024s
MALLOC,128,0.073690s
MALLOC,256,0.217144s
MALLOC,512,0.670849s
DYNAMIC,1,0.000186s
DYNAMIC,2,0.000260s
DYNAMIC,4,0.000557s
DYNAMIC,8,0.002207s
DYNAMIC,16,0.005271s
DYNAMIC,32,0.012242s
DYNAMIC,64,0.030873s
DYNAMIC,128,0.073156s
DYNAMIC,256,0.217333s
DYNAMIC,512,0.675836s
STACK,1,0.000198s
STACK,2,0.000272s
STACK,4,0.000558s
STACK,8,0.002193s
STACK,16,0.005306s
STACK,32,0.012296s
STACK,64,0.031000s
STACK,128,0.073723s
STACK,256,0.215688s
STACK,512,0.669954s
EXTERNAL,1,0.000153s
EXTERNAL,2,0.000238s
EXTERNAL,4,0.000473s
EXTERNAL,8,0.002004s
EXTERNAL,16,0.004955s
EXTERNAL,32,0.013498s
EXTERNAL,64,0.032857s
EXTERNAL,128,0.076060s
EXTERNAL,256,0.216485s
EXTERNAL,512,0.669851s
MALLOC,1,0.000377s
MALLOC,2,0.000472s
MALLOC,4,0.000687s
MALLOC,8,0.002343s
MALLOC,16,0.005119s
MALLOC,32,0.013432s
MALLOC,64,0.032808s
MALLOC,128,0.076725s
MALLOC,256,0.214754s
MALLOC,512,0.667075s
DYNAMIC,1,0.000186s
DYNAMIC,2,0.000278s
DYNAMIC,4,0.000504s
DYNAMIC,8,0.002049s
DYNAMIC,16,0.004870s
DYNAMIC,32,0.013121s
DYNAMIC,64,0.032851s
DYNAMIC,128,0.076525s
DYNAMIC,256,0.216921s
DYNAMIC,512,0.666573s
STACK,1,0.000197s
STACK,2,0.000287s
STACK,4,0.000504s
STACK,8,0.002010s
STACK,16,0.004863s
STACK,32,0.013140s
STACK,64,0.032653s
STACK,128,0.077122s
STACK,256,0.213097s
STACK,512,0.667137s
EXTERNAL,1,0.000158s
EXTERNAL,2,0.000230s
EXTERNAL,4,0.000555s
EXTERNAL,8,0.002102s
EXTERNAL,16,0.004760s
EXTERNAL,32,0.014682s
EXTERNAL,64,0.033281s
EXTERNAL,128,0.074997s
EXTERNAL,256,0.222958s
EXTERNAL,512,0.662668s
MALLOC,1,0.000373s
MALLOC,2,0.000459s
MALLOC,4,0.000753s
MALLOC,8,0.002250s
MALLOC,16,0.004890s
MALLOC,32,0.014731s
MALLOC,64,0.032759s
MALLOC,128,0.075620s
MALLOC,256,0.221461s
MALLOC,512,0.661543s
DYNAMIC,1,0.000185s
DYNAMIC,2,0.000260s
DYNAMIC,4,0.000568s
DYNAMIC,8,0.002014s
DYNAMIC,16,0.004694s
DYNAMIC,32,0.014344s
DYNAMIC,64,0.032681s
DYNAMIC,128,0.076174s
DYNAMIC,256,0.226178s
DYNAMIC,512,0.661955s
STACK,1,0.000197s
STACK,2,0.000272s
STACK,4,0.000567s
STACK,8,0.002077s
STACK,16,0.004688s
STACK,32,0.014330s
STACK,64,0.032419s
STACK,128,0.076840s
STACK,256,0.225007s
STACK,512,0.660546s
EXTERNAL,1,0.000157s
EXTERNAL,2,0.000225s
EXTERNAL,4,0.000737s
EXTERNAL,8,0.002120s
EXTERNAL,16,0.005817s
EXTERNAL,32,0.013151s
EXTERNAL,64,0.032745s
EXTERNAL,128,0.074200s
EXTERNAL,256,0.217695s
EXTERNAL,512,0.659505s
MALLOC,1,0.000374s
MALLOC,2,0.000460s
MALLOC,4,0.000740s
MALLOC,8,0.002364s
MALLOC,16,0.005996s
MALLOC,32,0.013185s
MALLOC,64,0.033696s
MALLOC,128,0.075495s
MALLOC,256,0.217641s
MALLOC,512,0.658682s
DYNAMIC,1,0.000185s
DYNAMIC,2,0.000260s
DYNAMIC,4,0.000560s
DYNAMIC,8,0.002173s
DYNAMIC,16,0.005778s
DYNAMIC,32,0.012850s
DYNAMIC,64,0.032569s
DYNAMIC,128,0.074065s
DYNAMIC,256,0.216896s
DYNAMIC,512,0.659717s
STACK,1,0.000192s
STACK,2,0.000273s
STACK,4,0.000557s
STACK,8,0.002162s
STACK,16,0.005790s
STACK,32,0.012931s
STACK,64,0.032642s
STACK,128,0.073960s
STACK,256,0.215798s
STACK,512,0.658066s
EXTERNAL,1,0.000152s
EXTERNAL,2,0.000222s
EXTERNAL,4,0.000565s
EXTERNAL,8,0.001879s
EXTERNAL,16,0.004914s
EXTERNAL,32,0.014540s
EXTERNAL,64,0.031459s
EXTERNAL,128,0.075723s
EXTERNAL,256,0.223923s
EXTERNAL,512,0.678278s
MALLOC,1,0.000387s
MALLOC,2,0.000479s
MALLOC,4,0.000851s
MALLOC,8,0.002199s
MALLOC,16,0.005238s
MALLOC,32,0.014284s
MALLOC,64,0.031288s
MALLOC,128,0.074276s
MALLOC,256,0.224094s
MALLOC,512,0.678422s
DYNAMIC,1,0.000186s
DYNAMIC,2,0.000259s
DYNAMIC,4,0.000612s
DYNAMIC,8,0.001903s
DYNAMIC,16,0.005179s
DYNAMIC,32,0.014087s
DYNAMIC,64,0.031430s
DYNAMIC,128,0.074501s
DYNAMIC,256,0.223036s
DYNAMIC,512,0.680481s
STACK,1,0.000196s
STACK,2,0.000271s
STACK,4,0.000600s
STACK,8,0.001964s
STACK,16,0.005169s
STACK,32,0.014277s
STACK,64,0.031502s
STACK,128,0.075492s
STACK,256,0.227898s
STACK,512,0.680779s
EXTERNAL,1,0.000152s
EXTERNAL,2,0.000238s
EXTERNAL,4,0.000511s
EXTERNAL,8,0.002124s
EXTERNAL,16,0.005174s
EXTERNAL,32,0.015216s
EXTERNAL,64,0.031487s
EXTERNAL,128,0.080992s
EXTERNAL,256,0.287159s
EXTERNAL,512,0.703981s
MALLOC,1,0.000391s
MALLOC,2,0.000501s
MALLOC,4,0.000723s
MALLOC,8,0.002358s
MALLOC,16,0.007679s
MALLOC,32,0.018783s
MALLOC,64,0.037668s
MALLOC,128,0.093135s
MALLOC,256,0.243497s
MALLOC,512,0.678248s
DYNAMIC,1,0.000185s
DYNAMIC,2,0.000275s
DYNAMIC,4,0.000539s
DYNAMIC,8,0.002184s
DYNAMIC,16,0.005126s
DYNAMIC,32,0.014870s
DYNAMIC,64,0.031318s
DYNAMIC,128,0.086315s
DYNAMIC,256,0.223328s
DYNAMIC,512,0.683460s
STACK,1,0.000194s
STACK,2,0.000286s
STACK,4,0.000539s
STACK,8,0.002249s
STACK,16,0.005037s
STACK,32,0.014776s
STACK,64,0.031937s
STACK,128,0.081136s
STACK,256,0.214693s
STACK,512,0.668507s
EXTERNAL,1,0.000153s
EXTERNAL,2,0.000223s
EXTERNAL,4,0.000470s
EXTERNAL,8,0.001860s
EXTERNAL,16,0.005954s
EXTERNAL,32,0.013393s
EXTERNAL,64,0.031480s
EXTERNAL,128,0.077309s
EXTERNAL,256,0.212585s
EXTERNAL,512,0.679154s
MALLOC,1,0.000376s
MALLOC,2,0.000462s
MALLOC,4,0.000682s
MALLOC,8,0.002093s
MALLOC,16,0.005888s
MALLOC,32,0.013214s
MALLOC,64,0.031502s
MALLOC,128,0.078035s
MALLOC,256,0.216616s
MALLOC,512,0.675534s
DYNAMIC,1,0.000186s
DYNAMIC,2,0.000260s
DYNAMIC,4,0.000497s
DYNAMIC,8,0.001910s
DYNAMIC,16,0.005727s
DYNAMIC,32,0.012928s
DYNAMIC,64,0.031451s
DYNAMIC,128,0.082307s
DYNAMIC,256,0.217320s
DYNAMIC,512,0.679282s
STACK,1,0.000197s
STACK,2,0.000272s
STACK,4,0.000495s
STACK,8,0.001892s
STACK,16,0.005731s
STACK,32,0.013170s
STACK,64,0.032273s
STACK,128,0.080354s
STACK,256,0.214796s
STACK,512,0.676275s
